country	USA	#0000FF
country	Greece	#008000
country	India	#008B8B
country	Australia	#00BFFF
country	China	#00FA9A
country	Spain	#00FFFF
country	Malaysia	#1E90FF
country	France	#20B2AA
country	Bangladesh	#2F4F4F
country	Hong Kong	#4B0082
country	Thailand	#6495ED
country	Germany	#696969
country	Poland	#6A5ACD
country	Netherlands	#708090
country	Nepal	#800000
country	Puerto Rico	#800080
country	Czech Republic	#808000
country	South Korea	#8B4513
country	Taiwan	#B8860B
country	Jamaica	#BC8F8F
country	Russia	#BDB76B
country	Italy	#C0C0C0
country	Guam	#C71585
country	Sri Lanka	#CD5C5C
country	Japan	#D2691E
country	Iran	#DB7093
country	Morocco	#F5DEB3
country	Kazakhstan	#FAFAD2
country	Serbia	#FF1493
country	Kenya	#FF4500
country	Pakistan	#FF7F50
country	South Africa	#FF69B4
country	Uruguay	#FFD700
country	Finland	#FFFF30
country	Viet Nam	#F5FFFA
country	Peru	#F08080
country	Tunisia	#E9967A
country	Israel	#DDA0DD
country	Brazil	#E0FFFF
country	Colombia	#DC143C
country	Turkey	#D8BFD8
country	Sweden	#D2B48C
		
region	Americas	#421C52
region	Europe	#0000FF
region	Asia	#BDB76B
region	Oceania	#B7474D
region	Africa	#008000